datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getAccelXScaled(),getAccelYScaled(),getAccelZScaled(),getGyroX(),getGyroY(),getGyroZ(),getGyroXScaled(),getGyroYScaled(),getGyroZScaled(),getXRotation(),getYRotation(),getForwardProximity(),steering_angle,throttle
2019-03-13 19:31:37.559950,224,820,16660,0.001953125,0.044189453125,1.0283203125,-285,73,46,-2.3206106870229006,0.7709923664122137,0.3053435114503817,3.392201318805302,-0.2899058838707208,45.07,53,2809
2019-03-13 19:31:37.691981,32,976,16608,0.005126953125,0.04833984375,1.013427734375,-302,119,44,-2.66412213740458,0.7022900763358778,0.09923664122137404,2.7236425274074536,-0.2345931812283224,43.81,54,2916
2019-03-13 19:31:37.823876,112,740,16536,0.0029296875,0.052734375,1.009521484375,-316,71,49,-2.1297709923664123,0.6946564885496184,0.3053435114503817,2.7275652159943666,-0.13791586203808726,44.17,55,3025
2019-03-13 19:31:37.955750,0,800,16588,0.005126953125,0.050048828125,1.003662109375,-286,105,29,-2.045801526717557,0.6106870229007634,0.2366412213740458,2.396200477330019,-0.29128601926125997,45.07,56,3136
2019-03-13 19:31:38.087961,128,792,16596,0.006103515625,0.052734375,1.02197265625,-282,67,30,-2.8091603053435112,0.7251908396946565,0.31297709923664124,2.7965083790940954,-0.3833690921776415,45.03,57,3249
2019-03-13 19:31:38.220100,108,564,16672,0.009521484375,0.04833984375,1.013427734375,-299,87,38,-2.099236641221374,0.5877862595419847,0.19083969465648856,1.9691904804971623,-0.6249436863598319,44.22,58,3364
2019-03-13 19:31:38.352033,124,844,16508,0.004638671875,0.043701171875,1.00390625,-268,98,14,-2.450381679389313,0.8625954198473282,0.2595419847328244,2.826550558444026,-0.09685645976623933,44.24,59,3481
2019-03-13 19:31:38.484013,92,516,16488,0.00341796875,0.0576171875,1.03076171875,-322,104,46,-2.427480916030534,0.6106870229007634,0.20610687022900764,2.640159311537483,-0.4972638236715444,44.25,60,3600
2019-03-13 19:31:38.615958,68,804,16584,0.00341796875,0.048095703125,1.022705078125,-317,89,33,-2.3206106870229006,0.6793893129770993,0.3282442748091603,2.9872251460022814,-0.6623850252282305,44.61,61,3721
2019-03-13 19:31:38.747956,104,732,16584,0.00146484375,0.04833984375,1.0,-278,86,44,-3.8473282442748094,0.7175572519083969,0.1450381679389313,1.9479917569775482,-0.3803288229443266,44.6,62,3844
2019-03-13 19:31:38.880086,144,748,16660,0.00146484375,0.050537109375,1.03076171875,-265,73,35,-2.3053435114503817,0.6259541984732825,0.44274809160305345,2.799419222729891,-0.36193550903987515,44.21,63,3969
2019-03-13 19:31:39.012049,-16,800,16452,0.0068359375,0.05029296875,1.015869140625,-275,77,51,-2.4732824427480917,0.8244274809160306,0.2366412213740458,2.7126519574132493,-0.3317310594215186,44.7,64,4096
2019-03-13 19:31:39.144019,48,796,16444,0.008544921875,0.05029296875,1.02001953125,-318,76,30,-2.3740458015267176,0.6564885496183206,0.29770992366412213,2.5383362359403607,-0.26170189174278513,44.27,65,4225
2019-03-13 19:31:39.275987,0,780,16436,0.00927734375,0.045166015625,1.020263671875,-290,82,19,-2.3893129770992365,0.648854961832061,0.022900763358778626,2.955632452953388,-0.3349501695439806,44.22,66,4356
2019-03-13 19:31:39.407897,-52,808,16676,0.005859375,0.034912109375,1.0087890625,-333,90,38,-2.183206106870229,0.5877862595419847,0.22137404580152673,2.721669980595124,-0.13590717976296032,44.69,67,4489
2019-03-13 19:31:39.539830,20,776,16408,0.0048828125,0.049072265625,1.010009765625,-313,93,32,-2.4580152671755724,0.7099236641221374,0.2595419847328244,3.269512895689559,-0.38962772762223363,44.64,68,4624
2019-03-13 19:31:39.671847,48,1004,16708,0.005615234375,0.045166015625,1.011962890625,-332,94,33,-3.8473282442748094,0.7404580152671756,0.22137404580152673,2.523260288931902,-0.3607851099369821,44.25,69,4761
2019-03-13 19:31:39.804135,64,752,16448,0.006103515625,0.04638671875,1.02099609375,-292,85,32,-2.267175572519084,0.6030534351145038,0.17557251908396945,3.0025317783633314,-0.362259569128364,44.67,70,4900
2019-03-13 19:31:39.936155,52,772,16548,0.003173828125,0.0615234375,1.0146484375,-335,101,27,-2.0610687022900764,0.648854961832061,0.4122137404580153,2.9621159555866035,-0.12441790964364971,44.24,71,5041
2019-03-13 19:31:40.068201,60,628,16608,0.003173828125,0.04541015625,1.00537109375,-274,84,13,-2.3282442748091605,0.5877862595419847,0.29770992366412213,1.8317058007254687,-0.3176526570081927,44.25,72,5184
2019-03-13 19:31:40.200351,76,544,16848,0.003173828125,0.052978515625,1.00830078125,-331,92,37,-2.404580152671756,0.6870229007633588,0.35877862595419846,2.777782739448398,-0.5916022528888208,45.17,73,5329
2019-03-13 19:31:40.332416,148,692,16392,0.004638671875,0.047607421875,1.004150390625,-300,81,14,-2.7786259541984735,0.7404580152671756,0.29770992366412213,3.075488964453327,-0.39376978542925695,45.11,74,5476
2019-03-13 19:31:40.464488,64,560,16564,0.0009765625,0.048095703125,1.00048828125,-271,82,16,-2.2977099236641223,0.7633587786259542,0.2748091603053435,2.8795004538826263,-0.3835250270903674,45.06,75,5625
2019-03-13 19:31:40.596472,28,512,16676,-0.01513671875,0.051513671875,1.002197265625,-260,80,34,-0.16030534351145037,0.7480916030534351,0.2595419847328244,2.920720207475946,-0.4696276201435093,45.06,76,5776
